"Request information","Informations requises"
"Request Information","Informations Requises"
"Company name","Nom de la compagnie"
"Province","Province"
"Product name","Nome Prodotto"
"Privacy text","Texte de confidentialité"
"Authorization for data processing","Autorisation de traitement des données"
"Form submitted successfully!","Formulaire soumis avec succès!"
"Authorization for data processing must be checked","L'autorisation de traitement des données doit être vérifiée"
"This contact form does no longer exists.","Ce formulaire de contact n'existe plus."
"I have read and accept the <a href=""%1"" target=""_blank"">Terms and conditions and privacy policy</a>.","J'ai lu et j'accepte <a href=""%1"" target=""_blank"">les conditions générales et la politique de confidentialité</a>."
"Mr","Monsieur"
"Mrs","Madame"
"Ms","Mademoiselle"
"Title","Titre",
"First name","Nom"
"Last name","Nom de famille"
"It is necessary to complete the required fields","Il est nécessaire de remplir les champs obligatoires"
"Email address","Adresse e-mail"
"and/or","et / ou"
"Phone code","Préfixe"
"Phone number","Numéro de téléphone"
"Please include a valid email address and/or a telephone number","Veuillez inclure une adresse e-mail valide et / ou un numéro de téléphone."
"Your message","Votre message"
"Please enter your message here","Veuillez entrer votre message ici"
"I accept receiving marketing information about Rolex from Azra Gioielli.","J'accepte de recevoir des informations marketing sur Rolex de la part de Azra Gioielli."
"Please accept the Terms & Conditions","Veuillez accepter les conditions générales"
"Send message","Envoyer le message"
"Cancel","Annuler"
"Attachment","Attachement"
"Only jpg, jpeg, gif, png, pdf, doc, docx documents are allowed","Seuls les documents jpg, jpeg, gif, png, pdf, doc, docx sont autorisés"
